Intent,Query,Responses
Acad_Teo_FC_L2_En que radica la responsabilidad social,Principle of confidentiality of public accountants,La responsabilidad social de un contador público radica en impulsar el bienestar en las empresas respetando los valores éticos. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_finalidad se modifico el código de ética de los contadores,For whom is the code of professional ethics established rules and principles?,The code of ethics for public accountants was modified in order to adapt to the current trends and needs of the professional. Click here for more related information.
Acad_Teo_FC_L2_palabra ética,What are the sanctions that will be applied according to the code of ethics to public accountants?,"Ethics is that which is governed by foundations, values, principles and rules. Click here for more related information."
Acad_Teo_FC_L2_principios básicos el contador,What is the economic entity?,"The public accountant must practice based on integrity, objectivity, diligence and professional confidentiality. Click here for more related information."
Acad_Teo_FC_L2_principios éticos fundamentales del contador,What are the Principles and prudential criteria?,"Los principios éticos fundamentales que debe cumplir el contador público son la Integridad, objetividad, diligencia y competencia, confidencialidad y comportamiento. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L2_Qué contiene el código de ética profesional,How is an asset classified?,"El código de ética profesional contiene 5 partes (A, B, C, D, E). Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L2_Qué debe tener como responsabilidad frente a la sociedad el contador,What is the general balance?,"El contador público debe tener como responsabilidad frente a la sociedad una visión de líder, conducta de emprendedor, capacidad de servicio y calidad humana. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L2_Qué prohíbe el principio de confidencialidad a los contadores,What is the internal control?,El principio de confidencialidad a los contadores públicos prohíbe revelar o usar información confidencial del cliente u organización. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_reglas y principios el código de ética profesional,What does the prudential criterion tell us?,El código de ética profesional establece reglas y principios para todas y cada una de las áreas laborales de un contador público. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L2_sanciones que se aplicarán según el código de ética a los contadores,What is the income statement?,Las sanciones que se aplicarán según el código de ética a los contadores públicos son desde una amonestación hasta la suspensión o denuncia. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L3_el ente económico,What is income?,"El ente económico se define como la empresa, es la actividad económica organizada como una unidad, respecto de la cual se predica la propiedad de los recursos. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L3_los Principios y el criterio prudencial,What is going concern?,The Principles and prudential criteria are two of the elements of the basic structure of accounting. Click here for more related information.
Acad_Teo_FC_L3_Qué criterio se utiliza para la clasificación del activo,What is the separate entity?,Para la clasificación del activo se utiliza el criterio de la disponibilidad. Dá click aqui para más informacion relacionada
Acad_Teo_FC_L3_Qué es el balance general,What is an asset?,El balance general es el reporte financiero que refleja la situación financiera de una empresa en un momento determinado Dá click aqui para más informacion relacionada
Acad_Teo_FC_L3_Qué es el control Interno,What is an economic entity?,"El control Interno es el conjunto de planes, métodos y procedimientos establecidos por la autoridad superior, diseñados con el objeto de proporcionar un grado de seguridad razonable en cuanto a la consecución de los objetivos. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L3_Qué es el Criterio prudencial,What is the liability?,"El Criterio prudencial nos dice que ante dos o más decisiones se debe elegir la más conservadora y eficiente, rigiéndose por las reglas actuales. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L3_Qué es el estado de resultados,What are accounting facts?,"El estado de resultados es el documento que muestra, ordenada y sistemáticamente, los ingresos y egresos de la entidad durante un lapso determinado. Dá click aqui para más informacion relacionada"
Acad_Teo_FC_L3_Qué es el ingreso,How is stockholders' equity composed?,"El ingreso son las actividades necesarias para alcanzar el objetivo de la entidad, que generan productos y dan como resultado utilidades. Representan incrementos en los activos de la empresa, resultado de la venta de bienes o de la prestación de servicios que ésta ofrezca a terceros. Dá click aqui para más informacion relacionada"
